id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways	gprfeat
rxn05625_c0	=	Cytosol_0	(ASE09_RS16475 or ASE09_RS14125 or ASE09_RS33545 or ASE09_RS26525)	nitrite transport in via proton symport, reversible_c0		0.0		(1)  cpd00067[e0] + (1)  cpd00075[e0] <=> (1)  cpd00067[c0] + (1)  cpd00075[c0]	(1)  H+_e0[e0] + (1)  Nitrite_e0[e0] <=> (1)  H+_c0[c0] + (1)  Nitrite_c0[c0]	rxn05625	NO2t2				Unknown
rxn02360_c0	=	Cytosol_0	ASE09_RS06795	trans-4-Hydroxy-L-proline 2-epimerase_c0	5.1.1.8	0.0		(1)  cpd00851[c0] <=> (1)  cpd02175[c0]	(1)  trans-4-Hydroxy-L-proline_c0[c0] <=> (1)  cis-4-Hydroxy-D-proline_c0[c0]	rxn02360		R03296	Arginine and proline metabolism	4-Hydroxyproline-Degradation|Amino-Acid-Degradation|Degradation	(fig|1736582.3.peg.1411)
rxn02342_c0	=	Cytosol_0	((ASE09_RS16715 or ASE09_RS17695) or (ASE09_RS32185 and (ASE09_RS32190 or ASE09_RS26485)))	R03270_c0		-2.81		(1)  cpd00213[c0] + (1)  cpd03049[c0] <=> (1)  cpd00056[c0] + (1)  cpd00836[c0]	(1)  Lipoamide_c0[c0] + (1)  2-Hydroxyethyl-ThPP_c0[c0] <=> (1)  TPP_c0[c0] + (1)  S-Acetyldihydrolipoamide_c0[c0]	rxn02342		R03270	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism		(fig|1736582.3.peg.3688 OR fig|1736582.3.peg.3481)
rxn10311_c0	=	Cytosol_0	ASE09_RS11760	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0		-40.8		(24)  cpd00037[c0] + (1)  cpd15750[c0] <=> (24)  cpd00014[c0] + (1)  cpd15768[c0]	(24)  UDP-N-acetylglucosamine_c0[c0] + (1)  Anteisoheptadecanoyllipoteichoic acid (n=24) , linked, unsubstituted_c0[c0] <=> (24)  UDP_c0[c0] + (1)  Anteisoheptadecanoyllipoteichoic acid (n=24) , linked, N-acetyl-D-glucosamine_c0[c0]	rxn10311					Unknown
rxn01452_c0	=	Cytosol_0	(ASE09_RS24460 or ASE09_RS11870)	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase_c0		3.76		(1)  cpd00006[c0] + (1)  cpd00842[c0] <=> (1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00279[c0]	(1)  NADP_c0[c0] + (1)  (S) -3-Hydroxybutyryl-CoA_c0[c0] <=> (1)  NADPH_c0[c0] + (1)  H+_c0[c0] + (1)  Acetoacetyl-CoA_c0[c0]	rxn01452		R01976	Benzoate degradation|Butanoate metabolism		(fig|1736582.3.peg.5114 OR fig|1736582.3.peg.2485)
rxn00022_c0	>	Cytosol_0	(ASE09_RS17475 or (ASE09_RS17490 or ASE09_RS24100))	maltose glucohydrolase_c0		-3.11		(1)  cpd00001[c0] + (1)  cpd00179[c0] => (2)  cpd00027[c0]	(1)  H2O_c0[c0] + (1)  Maltose_c0[c0] => (2)  D-Glucose_c0[c0]	rxn00022		R00028	Starch and sucrose metabolism		(fig|1736582.3.peg.3640) AND (fig|1736582.3.peg.3643 OR fig|1736582.3.peg.5039)
rxn00973_c0	=	Cytosol_0	(Unknown and Unknown and Unknown and ASE09_RS09255 and Unknown)	citrate hydroxymutase_c0		1.42		(1)  cpd00137[c0] <=> (1)  cpd00260[c0]	(1)  Citrate_c0[c0] <=> (1)  Isocitrate_c0[c0]	rxn00973	ACONT	R01324			(Unknown) AND (fig|1736582.3.peg.1925) AND (Unknown) AND (Unknown) AND (Unknown)
rxn02000_c0	=	Cytosol_0	(ASE09_RS26775 or ASE09_RS08385)	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0		0.0		(1)  cpd00521[c0] <=> (1)  cpd00522[c0]	(1)  dTDP-4-oxo-6-deoxy-D-glucose_c0[c0] <=> (1)  dTDP-4-oxo-L-rhamnose_c0[c0]	rxn02000	TDPDRE	R06514	Streptomycin biosynthesis|Polyketide sugar unit biosynthesis		(fig|1736582.3.peg.1744 OR fig|1736582.3.peg.5601)
rxn03239_c0	=	Cytosol_0	(ASE09_RS22835 and (ASE09_RS24460 or ASE09_RS09195 or ASE09_RS23360 or ASE09_RS22835 or ASE09_RS11870))	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase_c0		3.76		(1)  cpd00003[c0] + (1)  cpd03113[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd03114[c0]	(1)  NAD_c0[c0] + (1)  (S) -3-Hydroxyhexadecanoyl-CoA_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  3-Oxopalmitoyl-CoA_c0[c0]	rxn03239	HACD7	R04737	Fatty acid elongation|Fatty acid degradation		(fig|1736582.3.peg.4771) AND (fig|1736582.3.peg.5114 OR fig|1736582.3.peg.4771 OR fig|1736582.3.peg.1913 OR fig|1736582.3.peg.2485 OR fig|1736582.3.peg.4882)
rxn05063_c0	>	Cytosol_0	ASE09_RS20835	carbamate hydro-lyase_c0		-15.71		(1)  cpd00001[c0] + (1)  cpd01015[c0] => (1)  cpd01101[c0]	(1)  H2O_c0[c0] + (1)  Cyanate_c0[c0] => (1)  Carbamate_c0[c0]	rxn05063		R07315			(fig|1736582.3.peg.4343)
rxn05457_c0	=	Cytosol_0	ASE09_RS16605	[Acyl-carrier-protein] acetyltransferase_c0		0.0		(1)  cpd00010[c0] + (1)  cpd11466[c0] <=> (1)  cpd01695[c0] + (1)  cpd11493[c0]	(1)  CoA_c0[c0] + (1)  Myristoyl-ACP_c0[c0] <=> (1)  Myristoyl-CoA_c0[c0] + (1)  ACP_c0[c0]	rxn05457	FAS1_6_c				(fig|1736582.3.peg.3459)
rxn13783_c0	>	Cytosol_0	(ASE09_RS15905 and ASE09_RS31790 and ASE09_RS18310 and ASE09_RS30080 and ASE09_RS12965 and ASE09_RS07655 and Unknown and ASE09_RS30925 and (ASE09_RS31785 or ASE09_RS27040) and ASE09_RS07615 and ASE09_RS12960 and ASE09_RS31630 and ASE09_RS16325 and ASE09_RS01960 and Unknown and ASE09_RS30050 and ASE09_RS10550 and (ASE09_RS12540 or ASE09_RS27115) and (ASE09_RS22970 or ASE09_RS26240) and ASE09_RS25070 and (ASE09_RS12730 or ASE09_RS31765) and Unknown and ASE09_RS31760)	DNA replication_c0				 => (1)  cpd17042[c0]	 => (1)  DNA replication_c0[c0]	rxn13783					(fig|1736582.3.peg.2715) AND (fig|1736582.3.peg.3189 OR fig|1736582.3.peg.6606) AND (fig|1736582.3.peg.3314) AND (fig|1736582.3.peg.2209) AND (fig|1736582.3.peg.3813) AND (Unknown) AND (fig|1736582.3.peg.6292) AND (fig|1736582.3.peg.4801 OR fig|1736582.3.peg.5487) AND (fig|1736582.3.peg.2714) AND (fig|1736582.3.peg.6635 OR fig|1736582.3.peg.2664) AND (fig|1736582.3.peg.6634) AND (Unknown) AND (fig|1736582.3.peg.6640) AND (Unknown) AND (fig|1736582.3.peg.5238) AND (Unknown) AND (Unknown) AND (Unknown) AND (fig|1736582.3.peg.6299) AND (Unknown) AND (fig|1736582.3.peg.6639 OR fig|1736582.3.peg.5660) AND (fig|1736582.3.peg.6464) AND (fig|1736582.3.peg.411)
rxn10118_c0	>	Cytosol_0	(ASE09_RS31485 and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown and Unknown)	hydrogenase (ubiquinone-8: 2 protons) (periplasm)_c0		-25.91		(2)  cpd00067[c0] + (1)  cpd11640[c0] + (1)  cpd15560[c0] => (2)  cpd00067[e0] + (1)  cpd15561[c0]	(2)  H+_c0[c0] + (1)  H2_c0[c0] + (1)  Ubiquinone-8_c0[c0] => (2)  H+_e0[e0] + (1)  Ubiquinol-8_c0[c0]	rxn10118	HYD1				(Unknown) AND (Unknown) AND (Unknown) AND (Unknown) AND (Unknown) AND (Unknown) AND (fig|1736582.3.peg.6577) AND (Unknown) AND (Unknown) AND (Unknown)
rxn05392_c0	>	Cytosol_0	(ASE09_RS16590 and (ASE09_RS23060 or ASE09_RS16600))	7-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0		2.156		(1)  cpd11492[c0] + (1)  cpd11528[c0] => (1)  cpd00011[c0] + (1)  cpd11493[c0] + (1)  cpd11529[c0]	(1)  Malonyl-acyl-carrierprotein-_c0[c0] + (1)  7-methyl-octanoyl-ACP_c0[c0] => (1)  CO2_c0[c0] + (1)  ACP_c0[c0] + (1)  9-methyl-3-oxo-decanoyl-ACP_c0[c0]	rxn05392					(fig|1736582.3.peg.4819 OR fig|1736582.3.peg.3458) AND (fig|1736582.3.peg.3456)
rxn12008_c0	<	Cytosol_0	ASE09_RS02790	R05611_c0		22.53		(1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd02557[c0] <= (1)  cpd00113[c0] + (1)  cpd02590[c0]	(1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  Farnesylfarnesylgeraniol_c0[c0] <= (1)  Isopentenyldiphosphate_c0[c0] + (1)  all-trans-Heptaprenyl diphosphate_c0[c0]	rxn12008	HEPTT	R05611			(fig|1736582.3.peg.578)
rxn05353_c0	<	Cytosol_0	ASE09_RS06655	Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing and thioester-hydrolysing)_c0		16.55		(1)  cpd00006[c0] + (1)  cpd11464[c0] <= (1)  cpd00005[c0] + (2)  cpd00067[c0] + (1)  cpd11465[c0]	(1)  NADP_c0[c0] + (1)  Butyryl-ACP_c0[c0] <= (1)  NADPH_c0[c0] + (2)  H+_c0[c0] + (1)  But-2-enoyl-[acyl-carrier protein]_c0[c0]	rxn05353	EAR40y	R04430	Fatty acid biosynthesis		Unknown
rxn00199_c0	>	Cytosol_0	ASE09_RS28510	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)_c0		-3.09		(1)  cpd00067[c0] + (1)  cpd03187[c0] => (1)  cpd00011[c0] + (1)  cpd00024[c0]	(1)  H+_c0[c0] + (1)  Oxalosuccinate_c0[c0] => (1)  CO2_c0[c0] + (1)  2-Oxoglutarate_c0[c0]	rxn00199	IDP2_2	R00268	Citrate cycle (TCA cycle)		(fig|1736582.3.peg.5972)
rxn01358_c0	=	Cytosol_0	ASE09_RS01340	inosine:phosphate alpha-D-ribosyltransferase_c0		-7.95		(1)  cpd00009[c0] + (1)  cpd00246[c0] <=> (1)  cpd00226[c0] + (1)  cpd00475[c0]	(1)  Phosphate_c0[c0] + (1)  Inosine_c0[c0] <=> (1)  HYXN_c0[c0] + (1)  Ribose 1-phosphate_c0[c0]	rxn01358	PNP1_6	R01863	Purine metabolism	Adenine-Adenosine-Salvage|Adenosine-Nucleotides-Degradation|Biosynthesis|Degradation|NUCLEO-DEG|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY0-1296|Purine-Degradation|Purine-Nucleotides-Salvage|SALVADEHYPOX-PWY	(fig|1736582.3.peg.284)
rxn03433_c0	>	Cytosol_0	ASE09_RS27550	(S)-3-Hydroxyisobutyryl-CoA hydrolase_c0		-5.76		(1)  cpd00001[c0] + (1)  cpd03572[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00876[c0]	(1)  H2O_c0[c0] + (1)  (S) -3-Hydroxyisobutyryl-CoA_c0[c0] => (1)  CoA_c0[c0] + (1)  H+_c0[c0] + (1)  3-Hydroxyisobutyrate_c0[c0]	rxn03433	3HBCOAHL	R05064	Valine, leucine and isoleucine degradation		(fig|1736582.3.peg.5769)
rxn10231_c0	>	Cytosol_0	ASE09_RS23400	isohexadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0		-15.04		(1)  cpd00054[c0] + (1)  cpd15688[c0] => (1)  cpd00046[c0] + (2)  cpd00067[c0] + (1)  cpd15694[c0]	(1)  L-Serine_c0[c0] + (1)  CDP-1,2-diisohexadecanoylglycerol_c0[c0] => (1)  CMP_c0[c0] + (2)  H+_c0[c0] + (1)  Diisohexadecanoylphosphatidylserine_c0[c0]	rxn10231					(fig|1736582.3.peg.4890)
rxn12637_c0	=	Cytosol_0	((ASE09_RS06885 or ASE09_RS02345 or ASE09_RS17280) or ASE09_RS17715 or (ASE09_RS15540 or ASE09_RS15500))	RXN0-6987.c_c0		-0.46		(1)  cpd00001[c0] + (1)  cpd11589[c0] <=> (1)  cpd00033[c0] + (1)  cpd00041[c0]	(1)  H2O_c0[c0] + (1)  gly-asp-L_c0[c0] <=> (1)  Glycine_c0[c0] + (1)  L-Aspartate_c0[c0]	rxn12637	AMPEP13				(fig|1736582.3.peg.492 OR fig|1736582.3.peg.1430 OR fig|1736582.3.peg.3601) AND (fig|1736582.3.peg.3692) AND (fig|1736582.3.peg.3887 OR fig|1736582.3.peg.3234 OR fig|1736582.3.peg.3242)
rxn09240_c0	=	Cytosol_0	(ASE09_RS08770 and ASE09_RS08765)	Sulfate adenyltransferase_c0		-3.78		(1)  cpd00001[c0] + (1)  cpd00002[c0] + (1)  cpd00038[c0] + (1)  cpd00048[c0] <=> (1)  cpd00009[c0] + (1)  cpd00012[c0] + (1)  cpd00031[c0] + (1)  cpd00067[c0] + (1)  cpd00193[c0]	(1)  H2O_c0[c0] + (1)  ATP_c0[c0] + (1)  GTP_c0[c0] + (1)  Sulfate_c0[c0] <=> (1)  Phosphate_c0[c0] + (1)  PPi_c0[c0] + (1)  GDP_c0[c0] + (1)  H+_c0[c0] + (1)  APS_c0[c0]	rxn09240	SADT2				(fig|1736582.3.peg.1827 OR fig|1736582.3.peg.1828) AND (fig|1736582.3.peg.1826)
rxn01219_c0	=	Cytosol_0	ASE09_RS13040	ATP:dCMP phosphotransferase_c0		9.53		(1)  cpd00002[c0] + (1)  cpd00067[c0] + (1)  cpd00206[c0] <=> (1)  cpd00008[c0] + (1)  cpd00533[c0]	(1)  ATP_c0[c0] + (1)  H+_c0[c0] + (1)  dCMP_c0[c0] <=> (1)  ADP_c0[c0] + (1)  dCDP_c0[c0]	rxn01219	CYTK2	R01665	Pyrimidine metabolism		(fig|1736582.3.peg.2730)
rxn00800_c0	=	Cytosol_0	ASE09_RS05415	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_c0		7.34		(1)  cpd02375[c0] <=> (1)  cpd00018[c0] + (1)  cpd00106[c0]	(1)  Adenylosuccinate_c0[c0] <=> (1)  AMP_c0[c0] + (1)  Fumarate_c0[c0]	rxn00800	ADE13_2	R01083	Purine metabolism|Alanine, aspartate and glutamate metabolism	Biosynthesis|DENOVOPURINE2-PWY|Nucleotide-Biosynthesis|PRPP-PWY|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis	(fig|1736582.3.peg.1116)
rxn09177_c0	>	Cytosol_0	ASE09_RS25060	(R)-4'-Phosphopantothenate:L-cysteine ligase_c0		-26.84		(1)  cpd00052[c0] + (1)  cpd00084[c0] + (1)  cpd02201[c0] => (1)  cpd00012[c0] + (1)  cpd00046[c0] + (2)  cpd00067[c0] + (1)  cpd02666[c0]	(1)  CTP_c0[c0] + (1)  L-Cysteine_c0[c0] + (1)  4-phosphopantothenate_c0[c0] => (1)  PPi_c0[c0] + (1)  CMP_c0[c0] + (2)  H+_c0[c0] + (1)  (R) -4'-Phosphopantothenoyl-L-cysteine_c0[c0]	rxn09177	PPNCL2	R04231	Pantothenate and CoA biosynthesis	Biosynthesis|COA-PWY|CoA-Biosynthesis|Cofactor-Biosynthesis|PANTOSYN-PWY|Vitamin-Biosynthesis	(fig|1736582.3.peg.5235)
rxn00179_c0	=	Cytosol_0	ASE09_RS15775	ATP:L-glutamate 5-phosphotransferase_c0		-6.9		(1)  cpd00002[c0] + (1)  cpd00023[c0] <=> (1)  cpd00008[c0] + (1)  cpd02097[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] <=> (1)  ADP_c0[c0] + (1)  L-Glutamyl 5-phosphate_c0[c0]	rxn00179	GLU5K	R00239	Arginine and proline metabolism	Amino-Acid-Biosynthesis|Biosynthesis|CITRULBIO-PWY|Citrulline-Biosynthesis|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|PROLINE-SYN|PROSYN-PWY	(fig|1736582.3.peg.3288)
rxn02945_c0	>	Cytosol_0	ASE09_RS22655	prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase_c0		-13.19		(1)  cpd02168[c0] => (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd03211[c0]	(1)  Prephytoene diphosphate_c0[c0] => (1)  PPi_c0[c0] + (1)  H+_c0[c0] + (1)  15-cis-Phytoene_c0[c0]	rxn02945		R04218	Carotenoid biosynthesis	Biosynthesis|CAROTENOID-PWY|CAROTENOID-SYN|Lycopene-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|TETRATERPENOID-SYN|Terpenoid-Biosynthesis	(fig|1736582.3.peg.4735)
rxn01210_c0	>	Cytosol_0	(ASE09_RS15655 and ASE09_RS15655)	10-Formyltetrahydrofolate:L-glutamate ligase (ADP-forming)_c0		-20.65		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00201[c0] => (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd03524[c0]	(1)  ATP_c0[c0] + (1)  L-Glutamate_c0[c0] + (1)  10-Formyltetrahydrofolate_c0[c0] => (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  H+_c0[c0] + (1)  10-Formyl-THF-L-glutamate_c0[c0]	rxn01210		R01654			(fig|1736582.3.peg.3263) AND (fig|1736582.3.peg.3263)
rxn00192_c0	>	Cytosol_0	ASE09_RS24530	acetyl-CoA:L-glutamate N-acetyltransferase_c0		-5.29		(1)  cpd00022[c0] + (1)  cpd00023[c0] => (1)  cpd00010[c0] + (1)  cpd00067[c0] + (1)  cpd00477[c0]	(1)  Acetyl-CoA_c0[c0] + (1)  L-Glutamate_c0[c0] => (1)  CoA_c0[c0] + (1)  H+_c0[c0] + (1)  N-Acetyl-L-glutamate_c0[c0]	rxn00192	ACGS	R00259	Arginine and proline metabolism	ARG+POLYAMINE-SYN|ARGININE-SYN|ARGSYN-PWY|ARGSYNBSUB-PWY|Amino-Acid-Biosynthesis|Biosynthesis|GLUTORN-PWY|IND-AMINO-ACID-SYN|Other-Amino-Acid-Biosynthesis|Polyamine-Biosynthesis	(fig|1736582.3.peg.5128)
rxn01218_c0	>	Cytosol_0	ASE09_RS04805	2'-Deoxycytidine 5'-monophosphate phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd00206[c0] => (1)  cpd00009[c0] + (1)  cpd00654[c0]	(1)  H2O_c0[c0] + (1)  dCMP_c0[c0] => (1)  Phosphate_c0[c0] + (1)  Deoxycytidine_c0[c0]	rxn01218	NTD3	R01664	Pyrimidine metabolism		(fig|1736582.3.peg.992)
